Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,Source_30,Source_31,Source_32,Source_33,Source_34,Source_35,Source_37,Source_38,Source_39,Source_40,Source_41,Source_42,Source_43,Source_44,Source_46,Source_47,Source_49,Source_50,Source_51,Source_52,Source_53,Source_54,Source_55,Source_57,Source_58,Source_59,Source_60,Source_61,Source_62,Source_63,Source_64,Source_65,Source_66,Source_67,Source_68,Source_69,Source_70,Source_71,Source_72,Source_73,Source_74,score_class
696.632133,614.198617,627.792658,-298.027539,1085.919671,-269.183166,526.421784,106.551754,307.605764,74.818357,-725.866325,391.948033,339.96845,830.3509,759.726537,-282.070808,-579.082905,-575.749004,-498.558688,201.112231,789.833135,920.587882,-1110.251114,-409.27854,825.183922,326.11914,-396.075471,-9.287328,128.834422,-204.873397,668.537032,-538.532333,641.941003,-317.435737,150.078682,-390.684858,-1694.225863,1228.582739,-2051.287489,-79.598993,-275.812714,451.146033,-365.916272,-1124.210126,-987.942572,-305.80261,-313.13666,325.646071,229.319003,1375.880555,1348.892277,1539.800961,272.517208,-768.618354,-1197.461764,-193.289374,-661.241503,807.957087,578.36607,-422.060463,-368.89099,-178.096006,-246.40948,-646.139441,-1307.160665,956.400052,746.669393,569.689615,-488.930399,-1187.322329,1
0.002415,0.006602,0.009048,-0.022509,-0.00171,-0.018038,-0.016019,-0.011006,0.011726,0.003528,0.00916,-0.007446,-0.005092,-0.011308,-0.00262,0.027927,-0.021165,0.018282,0.016583,-0.007318,0.01386,-0.009121,0.004331,-0.005548,0.023115,-0.017172,0.007701,0.02309,-0.003903,-0.006195,0.000883,-0.008527,0.000066,-0.013603,-0.004727,0.012455,0.017243,0.013364,-0.001683,-0.007783,-0.007867,0.007612,0.016367,0.003953,-0.006361,0.017926,-0.010471,0.003846,0.014235,-0.012897,-0.044616,-0.045258,-0.007311,-0.012853,-0.002088,-0.01566,0.006888,0.002692,0.006725,0.011928,-0.00053,0.015031,-0.017697,0.004111,0.003423,0.00105,-0.013296,0.018156,-0.01476,-0.013646,0
-0.002432,-0.00216,0.004272,-0.000906,-0.007504,-0.008511,0.000217,0.003858,0.002681,0.002894,0.00612,0.004574,-0.003828,-0.00443,0.003826,0.002837,0.000072,0.005488,0.003299,-0.000305,-0.005378,0.004781,0.00234,-0.002282,0.003801,-0.006008,0.003109,0.008032,-0.010355,-0.002667,-0.000559,-0.004938,-0.004383,-0.009416,-0.00147,0.004077,0.013929,0.014507,0.003989,0.006145,0.001471,0.001661,-0.00077,0.001903,0.002988,-0.00004,-0.006062,0.007462,-0.002956,-0.011118,-0.018536,-0.017933,-0.010339,-0.001095,0.004717,0.006262,0.002108,-0.001645,0.004028,0.009581,-0.002152,0.000809,-0.001126,0.001091,0.008864,-0.002582,-0.012857,-0.004956,-0.011132,-0.003916,1
17.682966,15.60381,15.949424,-7.567905,27.567611,-6.834819,13.364285,2.699693,7.804134,1.917839,-18.403073,9.952535,8.612383,21.051142,19.279592,-7.162037,-14.712553,-14.597348,-12.653195,5.095037,20.035921,23.375437,-28.177538,-10.394141,20.974545,8.263495,-10.041784,-0.237795,3.268854,-5.198281,16.965853,-13.675453,16.280273,-8.063832,3.805631,-9.92164,-42.982694,31.185574,-52.054923,-2.003793,-7.015303,11.456723,-9.28777,-28.53183,-25.069907,-7.765214,-7.961984,8.261744,5.836823,34.894324,34.200248,39.065578,6.887464,-19.511017,-30.376284,-4.903868,-16.795351,20.502942,14.696599,-10.717847,-9.350795,-4.516745,-6.263862,-16.402975,-33.170186,24.274171,18.945013,14.468065,-12.419751,-30.140231,1
169.720089,149.648876,152.95565,-72.618478,264.57445,-65.582929,128.272852,25.962995,74.944477,18.230297,-176.874231,95.497606,82.844259,202.323774,185.109366,-68.736959,-141.102417,-140.283193,-121.482219,48.993676,192.443061,224.300177,-270.519686,-99.721748,201.056652,79.45996,-96.506208,-2.256938,31.400823,-49.918697,162.887396,-131.212737,156.405463,-77.341997,36.563285,-95.192717,-412.808967,299.348982,-499.800588,-19.390847,-67.207608,109.916273,-89.152545,-273.920624,-240.707471,-74.503334,-76.307308,79.339503,55.866546,335.242945,328.665357,375.176088,66.387694,-187.268567,-291.756241,-47.085883,-161.119403,196.855652,140.914259,-102.838763,-89.883567,-43.39427,-60.039352,-157.439108,-318.490289,233.029336,181.92176,138.805473,-119.13844,-289.281411,1
417.268521,367.890197,376.042849,-178.509616,650.442866,-161.244856,315.315456,63.828599,184.249364,44.817684,-434.779083,234.776533,203.637359,497.366184,455.067098,-168.957861,-346.858437,-344.863937,-298.628846,120.464172,473.085441,551.422378,-665.02579,-245.150588,494.266919,195.334889,-237.244084,-5.557188,77.167242,-122.71776,400.442811,-322.573939,384.508483,-190.147658,89.895449,-234.013048,-1014.810598,735.9154,-1228.689718,-47.667417,-165.205645,270.227857,-219.181412,-673.384215,-591.760972,-183.17181,-187.56346,195.059871,137.352343,824.122793,807.958488,922.310719,163.218808,-460.386371,-717.259202,-115.767289,-396.077771,483.946964,346.429952,-252.798527,-220.963986,-106.674986,-147.597154,-387.02258,-782.961063,572.866068,447.231502,341.224887,-292.868192,-711.183483,1
-0.009416,-0.005972,0.001097,-0.006639,-0.015693,0.00615,-0.002242,0.001113,-0.002894,-0.000454,-0.007203,0.006921,-0.00793,-0.007743,0.001497,0.001902,-0.00937,0.006122,-0.006672,0.001745,-0.003076,-0.003908,0.000142,0.004957,-0.004812,-0.008133,0.003866,-0.002011,0.007551,0.007697,0.002492,0.005933,-0.011425,0.008269,0.001264,-0.006305,0.001707,0.002008,0.01516,0.006517,-0.011546,-0.008066,-0.003496,-0.004375,-0.01019,0.009884,-0.009198,-0.006782,0.004522,-0.013374,-0.010636,-0.018176,-0.00615,0.009129,0.010818,0.001811,-0.006438,0.001614,0.006753,-0.002378,0.006271,-0.004703,-0.01028,0.006919,0.001429,0.000851,-0.007069,0.005706,0.00489,0.005536,1
434.93039,383.498821,392.002918,-186.039117,678.030467,-168.042573,328.740993,66.512345,192.027943,46.733598,-453.190165,244.6957,212.262739,518.44893,474.316751,-176.13943,-361.558193,-359.453987,-311.31902,125.57094,493.149039,574.785332,-693.204762,-255.544534,515.250523,203.659733,-247.260895,-5.858289,80.424796,-127.867148,417.397305,-336.243458,400.797772,-198.138828,93.705846,-243.933848,-1057.82357,767.04282,-1280.732867,-49.673719,-172.217042,281.68402,-228.471505,-701.904513,-616.8283,-190.951399,-195.516675,203.372139,143.166593,859.103897,842.21161,961.460879,170.112244,-479.886965,-747.610179,-120.623132,-412.874788,504.480898,361.100593,-263.533354,-230.321356,-111.194778,-153.849118,-403.421613,-816.111817,597.125825,466.176575,355.633899,-305.253818,-741.315081,1
205.10368,180.836085,184.830642,-87.730075,319.699128,-79.244078,154.982569,31.36607,90.550807,22.026225,-213.704873,115.392862,100.093537,244.469032,223.674943,-83.064574,-170.495189,-169.506381,-146.799937,59.210209,232.512853,271.037572,-326.874585,-120.490893,242.952644,96.018366,-116.617283,-2.738318,37.949307,-60.319911,196.826376,-158.545999,188.976631,-93.447915,44.189502,-115.03171,-498.812644,361.714104,-603.929449,-23.412437,-81.205178,132.821212,-107.741137,-330.981897,-290.856113,-90.04338,-92.197231,95.874282,67.514897,405.077301,397.136194,453.350038,80.203265,-226.281885,-352.533946,-56.892112,-194.699588,237.862836,170.265326,-124.256855,-108.612608,-52.431923,-72.540183,-190.235315,-384.848217,281.57617,219.838197,167.714248,-143.943086,-349.542926,1
141.448815,124.707088,127.466778,-60.501432,220.474501,-54.656212,106.894991,21.640754,62.447924,15.186964,-147.38759,79.58707,69.027179,168.601486,154.265653,-57.289901,-117.576888,-116.901325,-101.240671,40.838128,160.353165,186.928447,-225.429606,-83.098342,167.54395,66.22027,-80.428061,-1.887412,26.161339,-41.5995,135.740415,-109.340514,130.3294,-64.449795,30.475696,-79.334253,-344.002675,249.465473,-416.497603,-16.147463,-55.999307,91.599837,-74.308145,-228.268485,-200.587455,-62.101665,-63.5884,66.128833,46.556397,279.361186,273.891433,312.651711,55.318202,-156.054991,-243.123467,-39.228884,-134.270866,164.044157,117.43063,-85.69178,-74.905956,-36.166493,-50.022408,-131.19654,-265.409585,194.191317,151.605673,115.658911,-99.274387,-241.068097,1
