K1,K2,K3,K4,K5,K6,Col15
23755.076826,-117912.822827,65.817931,459729.585599,353445.751894,-119.511506,0
23834.751163,-105606.601839,83.138439,378738.889837,167937.914251,-133.367912,0
7453.014625,-68575.355573,86.60254,92924.525826,102353.810422,-140.296115,0
13132.409223,-107525.714134,76.210236,285913.090907,205599.627011,-150.68842,0
3349.786262,-18579.709013,76.210236,724168.710594,169311.430541,-133.367912,0
50419.999008,-89314.931943,69.282032,209034.283762,300238.883136,-119.511506,0
34923.340433,-81373.47899,74.478185,673428.282186,323635.425445,-96.994845,0
13534.24501,-72178.021253,88.334591,115487.951696,95302.631585,-98.726896,0
4849.742261,-14563.08319,74.478185,550265.613361,124487.687692,-103.923048,0
10167.13824,-16622.4916,65.817931,1401991.205679,64094.540134,-98.726896,0
25395.328941,-39301.964875,69.282032,105869.873562,135517.387235,-103.923048,0
14253.046095,-46642.396197,69.282032,85961.68158,98773.661403,-93.530744,0
3472.761869,-8052.304204,74.478185,258269.560018,38370.12154,-103.923048,0
44879.168475,-103505.62421,83.138439,447250.15953,249754.798248,-109.119201,0
15311.329139,-47733.588206,83.138439,60077.914311,78370.10289,-119.511506,0
4120.548871,-47707.607444,76.210236,82294.93002,82301.858223,-129.903811,0
6739.409692,-42352.106347,83.138439,41489.545045,59239.60172,-152.420471,0
46011.929703,-41366.569437,91.798693,297010.340431,127671.197077,-145.492268,0
15347.702206,-40860.810601,98.726896,41285.163049,47149.887084,-150.68842,0
7144.709581,-9706.412726,91.798693,799606.451467,83373.997673,-121.243557,0
10960.41751,-51845.476823,98.726896,130004.269515,75946.96381,-116.047404,0
97330.863081,-54214.922328,103.923048,396501.070869,215751.176794,-114.315353,0
35151.97114,-34019.209911,105.655099,77121.294258,67085.791879,-103.923048,0
96769.678619,-110031.991652,138.564065,705195.826048,159182.397419,-121.243557,0
11545.850683,-27716.277023,128.17176,899654.902264,220500.460108,-93.530744,0
10936.168799,-119818.078715,91.798693,689318.116295,298442.746449,-109.119201,0
45137.244045,-54225.314633,86.60254,751490.080032,235241.944532,-98.726896,0
21849.820937,-22821.501441,69.282032,651916.211156,75316.497316,-88.334591,0
54150.836448,-290788.81393,74.478185,1070374.490112,533698.547387,-116.047404,0
89671.734409,-20798.466097,110.851252,1167216.914865,178863.690745,-88.334591,0
14850.603624,-6076.034233,110.851252,286588.590722,31384.760633,-83.138439,0
37533.541,-105365.846777,116.047404,299939.238347,182461.160273,-93.530744,0
32209.216818,-32278.49885,114.315353,1108393.005338,239892.50095,-69.282032,0
396630.974679,-77053.744276,110.851252,4570364.197983,828808.828082,-65.817931,0
9581.705067,-5403.99852,129.903811,849063.430226,16179.086594,-65.817931,0
136220.599863,-50198.296505,121.243557,4018415.031236,588876.489964,-36.373067,0
54169.889007,-23685.794794,140.296115,277431.238102,155837.807309,-34.641016,0
26826.002908,-18844.712786,121.243557,1339663.357368,225923.511187,-36.373067,0
255823.904278,-114181.985387,116.047404,2100404.320764,314159.375477,-41.569219,0
64241.764453,-66197.249814,129.903811,4803827.326335,533757.437114,-45.033321,0
210423.38851,-59099.305605,135.099963,1490088.505904,328805.597106,-45.033321,0
83722.139885,-37784.688367,150.68842,1928605.665263,287705.763493,-50.229473,0
