K1,K2,K3,K4,K5,K6,K7,K8,score_class
-311740507.634346,-311796014.666576,418108939.896789,454510.916516,-20817.518656,-418569509.527029,-178570.974159,154154.253924,1
-294421884.029935,-294473509.536306,361189250.492077,565789.98475,-19198.051151,-361761405.763545,-100043.254645,77944.018391,1
-68848601.200414,-68856986.058373,83947142.858074,4290.28985,-2601.540313,-83955551.964745,-3063.997879,1174.330448,0
-303070794.867041,-303145198.573582,66299915.394043,232117.324875,-32962.658919,-66536991.58038,-94774.356089,60623.510316,0
-294382329.185643,-294511311.545181,449858389.023623,889841.102389,-36539.343836,-450773488.622938,-153317.673384,95264.526467,1
-285779942.965279,-285796393.98385,412865038.297419,246728.905487,-7354.287729,-413112865.323118,-7201.867258,1.732051,0
-329078717.269288,-329098388.170309,161798826.44052,224652.185894,-5662.07409,-162028338.760981,-69864.001374,64087.611931,1
-285782210.219787,-285793510.119255,385357667.386704,483741.005944,-2352.124997,-385844160.621382,-74441.811659,71015.815161,1
-285779115.044993,-285796087.410857,328069130.834318,472290.418055,-3249.327315,-328545727.130681,-74781.293617,69283.764354,1
-285759748.984914,-285816548.127047,1126106.688947,234746.578001,-26446.683781,-1362439.825488,-44700.767242,17322.240126,1
-285780511.077944,-285793977.772973,177211906.636171,101312.847887,-3815.707929,-177318476.258259,-118881.039228,116049.136158,0
-285751199.582128,-285823803.68788,376494119.081474,870653.443542,-32936.678157,-377369255.072506,-90328.181666,57159.408701,1
-346406619.469874,-346413220.315502,260412571.05679,529655.940802,-1600.414946,-260940959.136401,-2100.97763,1.732051,0
-294386266.137129,-294504816.354653,576968853.703941,1200581.409571,-30437.328841,-578204365.382148,-215144.959011,166278.609577,1
-285685345.278373,-285842916.868541,325543170.290388,1616398.311046,-67553.445597,-327271190.615728,-609293.904883,604487.463892,1
-276909689.891373,-277268619.316124,506615939.420187,2553391.032569,-128175.223862,-509367383.534398,-364549.929621,303110.623375,1
-68852273.148126,-68854769.033339,83948732.880715,1564.041879,-1014.981773,-83950811.341684,-1136.22533,0,1
-311751953.026082,-311784991.895236,524803520.790399,1111065.559734,-10002.593414,-525916896.90591,-300916.115002,287522.166107,1
-65731873.743243,-65896434.15842,250255276.0611,504414.764383,-47387.178044,-250797506.690765,-94886.939391,24250.443357,1
-259746561.148212,-259830709.372596,220763525.717068,813073.146495,-57020.844636,-221653126.064394,-24338.777948,39838.900625,1
-277036522.775859,-277216429.16119,253519348.324624,955291.838305,-62192.748347,-254502777.328298,-177670.307739,93532.47566,1
-276962035.930879,-277269086.969842,487775901.438967,322400.473219,-84021.784675,-488186239.863737,-180978.524781,65819.662738,1
-259783398.404788,-259830804.635391,109346470.191504,235240.212481,-21820.376074,-109584277.303281,-40801.920874,19054.290934,0
